producto,categoria,seccion,linea,abastecimiento,negocio
GLOBO #9 LISO SURTIDO 25 UNI,DECORACION CUMPLEANOS,BAZAR,CUMPLEANOS,Centralizado,NON FOOD
CEREAL AVENA Y FLAKES ALMEN NESTLE 350GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ALIMENTO PERRO MERKAT 30 KG,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
SALAME AHUMADO CORTADO PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
QUESO MANTECOSO QUILQUE TROZO 250 GR,QUESOS MADUROS - SEMI MADUROS ENVASADOS,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
PAÑAL BABYSEC PREMIUM G 20 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
CHANCHITO MOLDE LA PREFERIDA 1 KILO,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
SALCHICHA WINTER 25 UN.,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
GALLETA OBLEAS TRAMS FRUTILLA DEU 140 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUESO DE CABEZA BIELEFELDT KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
YOGUR ACTIVIA ZERO CHIA FRUTILLA 120 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT PARMALAT DIET 115 GR, COCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ASADO CARNICERO IMP VAC KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
"AMBIENTAL GLADE 360 CC, POTPOURRI",DESODORANTES AMBIENTALES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
TAPAPECHO VACUNO GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
"YOGHURT BATIDO ZERO LACTO SOPR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MANI TOSTADO C/CASCARA SABU 200 GR,COCTEL FRUTOS SECOS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAP DESECHABLE 250 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
GOMITAS MOGUL CALIFRUT ARCOR 400 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
AMBERRIES AMBROSOLI 25 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"COMPOTA SOPROLE 110 GR, DURAZNO",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
VINO TTO GN 120 SRITA 1.5 LT BOT,VINOS BOTELLON,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
GALLETA FRAC VAINILLA COSTA 130 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CARACOLES LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
FIDEOS DEDALITO ACONCAGUA 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CLORO GEL CLORINDA MENTA 900ML,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
YOGURT S/LACT FRUTILLA FOB ACTIVIA 150 G,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SALSA TOMATE ITALIANA SAN REMO 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TOALLA PAPEL ULTRA D/R NOVA 32 MT X 2 UN,TOALLA DE PAPEL,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
TRIGO MOTE OSO 500 GR,PRODUCTOS NATURALES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"JABON DERMO CARE 1 LT, MANZANILLA",JABONES,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
CEREAL MONO CHOC COSTA 360 GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"NECTAR SOPROLE 200 CC., NARANJA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PAP DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
DORITOS QUESO EVERCRISP 75 GR,SNACKS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"NECTAR WATTS B/A 300 CC., TUTI FRUTILLA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
BEBIDA LACTEA MERKAT 800 GR,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHICLE MENTA BIGTIME 11 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT LIGHT SOPROLE 120 GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
YOGHURT S/LAC ZERO DURAZNO ACTIVIA 150GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
HARINA FLOR TODO USO TEO GROB 20 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AGUA PURE LIFE C/GAS NESTLE 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
SALAME ITALIANO SAN JORGE 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
GALLETA CRACKER SELZ TRIPACK 321G,COCTEL - SNACK,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPAS CHEDDAR STAX LAYS 40GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ARROZ PARBOILED G1 G LARGO COLISEO 100GR,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
QUESO GAUDA LAMINADO LA VAQUITA 1 KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
MAMADERA DISEÑO FANSY SIMONDS 240 ML,ACCESORIOS BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
JUGO PIÑA ADES 1 LT,JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
AZUCAR LIGHT SUCRALOSA IANSA 500 GR,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
YOGUR GRIEGO TROZOS FRUTILLA,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
YOGUR ACTIVIA MORA SILVESTRE 120 GRS,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA GRETEL CHOC BLANCO COSTA 85 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ESPIRALES C/HUEVO TALLIANI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
VIRUTILLA LIQUIDA EXCELL 900 CC,CERAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MAQ AFEITAR GILLETTE SENSE PROTECT 2 UN,AFEITADO,PGC NO ALIMENTACION,CUIDADO Y BELLEZA,Centralizado,PGC
CEREAL BAR C/FRUTAS Y YOGHURT 21GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SPAGHETTI Nº5 ROMANO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT BATIDO SOPROLE 165 GR, DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PACK2 CALCETINES BEBE NIÑO KFK,ROPA INTERIOR BEBE,TEXTIL HOGAR,VESTUARIO,Centralizado,NON FOOD
NECTAR DURAZNO ANDINA 200 CC,JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PROBIOTICO SUPERCALO MANZANA 8X6X90ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LIMPIADOR POETT LAVANDA 485 CC,LIMPIADORES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
JALEA SOPROLE NARANJA 100 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
AGUA PET PURE LIFE 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
SABORIZANTE FRUTILLA MERKAT TARRO 400 GR,SABORIZANTES Y FORTIFICANTES PARA LECHE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SPAGHETTINI Nº3 LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"COMPOTA SOPROLE 110 GR, MANZANA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PACK 6 VASOS ALTO LISO DKORA.,CRISTALER.VASO,MENAJE,CRISTALERIA,Centralizado,NON FOOD
COBERTURA MOLDER-CHOC AMBROSO 1 KG,PRODUCTOS PARA REPOSTERIA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
DOBLE QUIFARO Nº47 CAROZZI 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BISCOCHO FRAC CAKE COSTA 33 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA S/POLVO MERKAT 3 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MANJAR POTE NESTLE 400 GR,MANJAR POTE,LACTEOS,MANJAR,Directo,PERECIBLES
"MERMELADA WATTS 250 GR, FRUTILLA",MERMELADAS Y DULCES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"TAMPONES TAMPAX 10 UN, SUPER PLUS",PROTECCION FEMENINA,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
GOMITA AMBROSITO 25 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT LIGHT SOPROLE 165 GR, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"REFRESKIDS 180 ML, FRAMBUESA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
NESCAFE MIXES CHOCHA MOCHA 23 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TALLARINES 78 TALLIANI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ORANGE CRUSH DESECHABLE 250 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
GALLETA CRICKET ORIGINAL KRYZPO 192G,COCTEL - SNACK,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SPAGUETTI Nº3 CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AGUA AQUARIUS LIMON PET 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
YOG.POTE LONCO S/LACTOSA FRUTILLA 120 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CERV LEMON STONES 350 CC LATA.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
GALLETA FRAC CLASICA COSTA 130 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BOLSA BASURA SUPERIOR 10 UN 70X90,BOLSAS BASURA,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
"GALLETA TRITON MCKAY 126 GR, VAINILLA",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CLORO GEL IGENIX EUCALIPTUS 900ML,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MASTICABLE MAX FRUTACIDA COLOMBINA 430GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
YOGHURT CALAN MORA BOLSA 1 KG,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SALAME AHUMADO SAN JORGE 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PAPAS LAYS TA EVERCRISP 72 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"POSTRE AMBROSOLI 160 GR., CHOCOLATE",POSTRES EN POLVO,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPAS FRIT AIR CRUNCH ORIG KRYZPO 120 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
YOGUR GRIEGO TROZOS PAPAYA,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
DURAZNO EN TROCITO DOS CABALLOS 590 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PATE DE JAMON WINTER 125 GR,PATE,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"NECTAR SOPROLE 200 CC., DURAZNO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"COMPOTA NESTLE 120 GR., MANZANA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
DURAZNOS EN MITADES MERKAT 425 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MASTICABLE CUBITOS FRUTAS PELAYO 500 GR.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
AGUA AQUARIUS UVA PET 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
YOGHURT FIBRAMIX CLASICO ACTIVIA 120 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PACK2 CALCETINES NIÑO KIDS FOR KIDS,ROPA INTERIOR NINO,TEXTIL HOGAR,VESTUARIO,Centralizado,NON FOOD
PACK2 CALCETINES NIÑA KIDS FOR KIDS,ROPA INTERIOR NINA,TEXTIL HOGAR,VESTUARIO,Centralizado,NON FOOD
VIENESA TRADICIONAL MERKAT 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MOSTACHOLIS SUAZO 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"NECTAR YUZ TETRA 200 CC, DURAZNO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
COCA COLA DESECHABLE 3 LT,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
CERA LIQ AUTOBRILLO INCOL VIRGINIA 900ML,CERAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
HIERBA MANZANILLA SUPREMO 20 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HAMBURGUESA AVE KING PACK 10 UN,HAMBURGUESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PEPSI DESECHABLE 250 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
NUECES MARIPOSA MARCO POLO 100 GR,COCTEL FRUTOS SECOS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
YERBA MATE C/PALO TARAGUI 500 GR,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BARRA FRUTOS BOSQUE SECHU DIS 15 X 20 GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
AGUA NEXT TE MANZANA 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
POSTA ROSADA VACUNO KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
GALLETA OBLEAS TRAMS CHOCOLATE DEU 140GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SEMOLA SOPROLE C/SALSA DE DAMASCO 140 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
DEDALITOS CAROZZI 250 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PALMITO ENTERO WASIL 800 GR.,CONSERVAS DE VERDURAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CLORO CLOROX 2 LT,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
YERBA MATE SUPREMA 1 KG.,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CROSS ABRIDOR MULTIPLE CLASICA,UTENSILIOS VARIOS,MENAJE,UTENSILIOS COCINA,Centralizado,NON FOOD
VINO MER GN 120 SRITA 1.5 LT BOT,VINOS BOTELLON,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
FACIAL FAVORITA CUBO TH 60 UN,PAÑUELOS DESECHABLES,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
SALCH CERVEZA PREFERIDA 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
VINO TTO BODEGA UNO 2 LT CAJA,VINOS CAJA,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
GALLETA FRAC CHOCOLATE COSTA 130 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CERA CON TIERRA ESTELAR SACHET 1 LT,CERAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MANTECA CRUCINA PAN 1 KG,MANTECA,LACTEOS,MANTECA,Directo,PERECIBLES
QUESO CREMA PHILADELPHIA 210 GR,QUESOS ESPECIALES ENVASADOS,QUESOS Y HUEVOS,QUESOS ESPECIALES,Directo,PERECIBLES
"YOGHURT BAT LIGHT DANONE 115GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
YOG.POTE LONCO S/LACTOSA CHIRIMOYA 120 G,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PASTILLA WC POTPOURRI AROM 40 GR,LIMPIADORES BANO,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PASTILLA WC LAVANDA AROM 40 GR,LIMPIADORES BANO,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
CARAMELO 1/2 HORA 1350167,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SALSA TOMATES ITALIANA EL VERGEL 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AGUA NEXT TE DURAZNO 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"NECTAR SOPROLE 200 CC., PIÑA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
BEB ENERG RED BULL SUMMER EDIT LAT 250CC,BEBIDAS ENERGETICAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
HIERBAS SURTIDAS SUPREMO 20 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"NECTAR WATTS B/A 300 CC., DURAZNO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
BARRA CEREAL FRUTAS/YOGHURT COSTA 8 UN,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCLO GRANO FRUTOS DEL MAIPO 500 GR,CHOCLO CONGELADO,HELADOS Y ALIMENTOS CONGELADOS,ALIMENTOS CONGELADOS,Directo,PERECIBLES
PH FAVORITA CLASICA UH 50MT X 6,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
CHUBI DOYPACK DOS EN UNO 150 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SALSA ITALIANA MERKAT DP 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"MERMELADA WATTS DIET 250 GR., DAMASCO",MERMELADAS Y DULCES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PALMITOS EN TROCITOS EL VERGEL 410 GR,CONSERVAS DE VERDURAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BANDEJA AMB HUEVITOS RELLENOS 10X17X9 GR,CONFITES DE TEMPORADA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA MCKAY MANTEQUILLA 140 GRS,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PANUELOS FAVORITA POCKET MANZANI DISX6,PAÑUELOS DESECHABLES,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
QUESO GAUDA LAMINADO SURLAT KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
"YOGHURT LIGHT SOPROLE 120 GR, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA MCKAY MINI TRITON 40 GRS,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BILZ DESECHABLE 250 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
CARAMELO MENTA CHOCOLATE 530GR ARCOR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA KUKY 2.0 MCKAY 190 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SALSA TOMATE ITALIANA DAMPEZZO 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CARAMELO ARBOLITO AMBROSOLI 860 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA LIMON COSTA 140 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FIBRA MAXI PODER VILEDA X 12,ESPONJAS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
"NECTAR WATTS LIGHT 200 CC, NARANJA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"YOGHURT BATIDO SOPROLE 165 GR, CHIRIMOYA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
JUGO ADES NATURAL 1 LT,JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
SEMOLA CAROZZI 500 GR,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CEREAL ACTIVO ADELGAZUL 300 GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ACEITE VEGETAL MERKAT 1.5 LT,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PASTINA LUCCHETTI DEDALITO Nº31  250 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA MINI KUKY MCKAY 40 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPAS FRITAS PRINGLES CREM/CEB 137GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LIMP MULT CR ORIGINAL C/MICROP CIF 750GR,LIMPIADORES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PNTA PALETA VAC GRA KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
FIDEOS 100 TRIGO RIGATI MALLOA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
FIDEOS 100 TRIGO TALLARIN 87 MALLOA 400G,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"GALLETA OBLEA BITS COSTA 120 G, VAINILLA",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MARGARINA N600 PAN SOPROLE 125 GR.,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
"GALLETA ROCKLETS 165 GR, CHOCOLATE",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT LIGHT SOPROLE 165 GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MAQ AFEITAR SCHICK PIEL SENS XTREME3 2UN,AFEITADO,PGC NO ALIMENTACION,CUIDADO Y BELLEZA,Centralizado,PGC
QUIFAROS SUAZO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA NABISCO CLUB SOCIAL 234 GR,COCTEL - SNACK,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CALUGA MANJAR NUEZ PELAYO 500 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ATUN LOMITO EN AGUA MERKAT 170GRS,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LECHE CHOCOLATE LIGHT SOPROLE 1 LT.,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
ESTUCHE COSTA RAMA LECHE 115 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GRIEGO SHAKE FRUTILLA PLATANO 900 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TALLARIN Nº87 ACONCAGUA 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"GOMITA AMBROSOLI 100 GR, AMBRERRIS",CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
NECTAR DAMASCO ANDINA 200 CC,JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"CLORO GEL CLORINDA DOYPACK 750, ORIGINAL",CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PIN POP SURTIDO AMBROSOLI 504 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BOLSA BASURA SUPERIOR 70X90 2X10UN,BOLSAS BASURA,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
